title,link,date_raw,image,category
"“С вами не скучно, спасибо за это!“ Рейтинг комментаторов Tengrinews.kz за 2024 год",https://tengrinews.kz/internet/s-ne-skuchno-spasibo-eto-reyting-kommentatorov-tengrinewskz-557540/,24 декабря 2024,https://static.tengrinews.kz/userdata/news/2024/news_557540/thumb_xts/photo_497150.png.webp,internet
Telegram откроет офис в Казахстане,https://tengrinews.kz/internet/telegram-otkroet-ofis-v-kazahstane-550910/,14 октября 2024,https://static.tengrinews.kz/userdata/news/2024/news_550910/thumb_xts/photo_489566.jpeg.webp,internet
Благодаря Tele2/Altel Казахстан улучшил свой рейтинг в глобальном индексе Speedtest,https://tengrinews.kz/internet/blagodarya-tele2-altel-kazahstan-uluchshil-svoy-reyting-527379/,23 февраля 2024,https://static.tengrinews.kz/userdata/news/2024/news_527379/thumb_xts/photo_463429.jpeg.webp,internet
В работе Telegram произошел сбой,https://tengrinews.kz/internet/v-rabote-telegram-proizoshel-sboy-526779/,18 февраля 2024,https://static.tengrinews.kz/userdata/news/2024/news_526779/thumb_xts/photo_462751.jpeg.webp,internet
Казахстанцы столкнулись с массовым сбоем в работе российских сервисов,https://tengrinews.kz/internet/kazahstantsyi-stolknulis-massovyim-sboem-rabote-rossiyskih-524781/,30 января 2024,https://static.tengrinews.kz/userdata/news/2024/news_524781/thumb_xts/photo_460474.jpeg.webp,internet
Тысячи новорожденных звезд запечатлели на фото,https://tengrinews.kz/science/tyisyachi-novorojdennyih-zvezd-zapechatleli-na-foto-580276/,09 сентября 2025,https://static.tengrinews.kz/userdata/news/2025/news_580276/thumb_xts/photo_522164.jpg.webp,science
Крупнейшее в истории слияние черных дыр зафиксировали ученые,https://tengrinews.kz/science/krupneyshee-istorii-sliyanie-chernyih-dyir-zafiksirovali-575266/,14 июля 2025,https://static.tengrinews.kz/userdata/news/2025/news_575266/thumb_xts/photo_516555.jpg.webp,science
Ученые обнаружили токсичный элемент в питьевой воде США,https://tengrinews.kz/science/uchenyie-obnarujili-toksichnyiy-element-v-pitevoy-vode-ssha-554932/,24 ноября 2024,https://static.tengrinews.kz/userdata/news/2024/news_554932/thumb_xts/photo_494028.jpeg.webp,science
Совершенно новый способ измерения времени нашли ученые,https://tengrinews.kz/science/sovershenno-novyiy-sposob-izmereniya-vremeni-nashli-uchenyie-554930/,24 ноября 2024,https://static.tengrinews.kz/userdata/news/2024/news_554930/thumb_xts/photo_494026.jpeg.webp,science
Сильная магнитная буря накрыла Землю,https://tengrinews.kz/science/silnaya-magnitnaya-burya-nakryila-zemlyu-539844/,29 июня 2024,https://static.tengrinews.kz/userdata/news/2024/news_539844/thumb_xts/photo_477180.jpeg.webp,science
У волков из Чернобыльской зоны развилась невосприимчивость к раку,https://tengrinews.kz/science/volkov-chernobyilskoy-zonyi-razvilas-nevospriimchivost-raku-525916/,10 февраля 2024,https://static.tengrinews.kz/userdata/news/2024/news_525916/thumb_xts/photo_461759.jpeg.webp,science
